,name,price,date
0,['Oceanview Inn at the Arch'],128,2022-05-01
1,['Inn at the Sea'],94,2022-05-01
2,['Adrift Hotel'],134,2022-05-01
3,['Chautauqua Resort & Conference Center'],155,2022-05-01
4,['Coastal Inn and Suites'],89,2022-05-01
5,['Boardwalk Cottages'],134,2022-05-01
6,['Best Western Long Beach Inn'],123,2022-05-01
7,['Mermaid Inn'],130,2022-05-01
8,['The Breakers Long Beach'],199,2022-05-01
9,['Inn at Discovery Coast'],274,2022-05-01
10,['Life’s Beach’Inn'],105,2022-05-01
11,['Shelburne Hotel'],125,2022-05-01
12,"[""Heidi's Inn""]",85,2022-05-01
13,['Salt Hotel'],125,2022-05-01
14,['Col-Pacific Motel'],109,2022-05-01
15,['At The Helm Hotel'],275,2022-05-01
16,['Astoria Riverwalk Inn'],142,2022-05-01
17,"['Holiday Inn Express Hotel & Suites Astoria, an IHG Hotel']",144,2022-05-01
18,"['Motel 6-Astoria, OR']",85,2022-05-01
19,['Best Western Astoria Bayfront Hotel'],132,2022-05-01
20,['Atomic Motel'],79,2022-05-01
21,['Columbia Inn'],72,2022-05-01
22,['Astoria Rivershore Motel'],79,2022-05-01
23,['Bowline Hotel'],199,2022-05-01
24,['Adrift Hotel'],134,2022-05-02
25,['Chautauqua Resort & Conference Center'],155,2022-05-02
26,['Oceanview Inn at the Arch'],128,2022-05-02
27,['Coastal Inn and Suites'],89,2022-05-02
28,['Boardwalk Cottages'],134,2022-05-02
29,['Best Western Long Beach Inn'],128,2022-05-02
30,['Inn at Discovery Coast'],189,2022-05-02
31,['Mermaid Inn'],126,2022-05-02
32,['The Breakers Long Beach'],199,2022-05-02
33,['Life’s Beach’Inn'],105,2022-05-02
34,['Shelburne Hotel'],125,2022-05-02
35,"[""Heidi's Inn""]",85,2022-05-02
36,['Salt Hotel'],125,2022-05-02
37,['Col-Pacific Motel'],104,2022-05-02
38,['At The Helm Hotel'],275,2022-05-02
39,['Astoria Riverwalk Inn'],142,2022-05-02
40,"['Holiday Inn Express Hotel & Suites Astoria, an IHG Hotel']",149,2022-05-02
41,"['Motel 6-Astoria, OR']",85,2022-05-02
42,['Best Western Astoria Bayfront Hotel'],132,2022-05-02
43,['Atomic Motel'],79,2022-05-02
44,['Columbia Inn'],72,2022-05-02
45,['Astoria Rivershore Motel'],79,2022-05-02
46,['Bowline Hotel'],219,2022-05-02
47,['Oceanview Inn at the Arch'],136,2022-05-03
48,['Inn at the Sea'],94,2022-05-03
49,['Adrift Hotel'],134,2022-05-03
50,['Chautauqua Resort & Conference Center'],149,2022-05-03
51,['Coastal Inn and Suites'],89,2022-05-03
